"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dropout_rate","input_shape","learning_rate","method","name","neurons_FC1","neurons_FC2","neurons_FC3","num_classes","optimizer","parameters.dropout_rates","parameters.learning_rates","parameters.neurons_FC1s","parameters.neurons_FC2s","parameters.neurons_FC3s","parameters.optimizers","epoch","global_step","test_acc","test_loss","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","trainer/global_step","val_acc","val_loss"
"faithful-sweep-10","finished","-","","","2024-10-13T15:37:30.000Z","384","5xpd0uvu","0.5","[3,32,32]","0.0001","","","512","128","","10","sgd","","","","","","","10","14070","0.7508999705314636","0.8460046648979187","0.8478666543960571","0.875","0.44948360323905945","0.38186344504356384","14070","0.7516000270843506","0.83135986328125"
"grateful-sweep-9","finished","-","","","2024-10-13T15:29:38.000Z","467","5xpd0uvu","0.5","[3,32,32]","0.0001","","","512","128","","10","adam","","","","","","","10","14070","0.7476999759674072","0.9072216749191284","0.8747777938842773","0.78125","0.378238707780838","0.43148133158683777","14070","0.7523999810218811","0.8913531303405762"
"vibrant-sweep-8","finished","-","","","2024-10-13T15:22:36.000Z","419","5xpd0uvu","0.5","[3,32,32]","0.001","","","256","64","","10","sgd","","","","","","","9","12663","0.7379999756813049","0.8633232712745667","0.8297333121299744","0.875","0.4960279166698456","0.4110601246356964","12663","0.7382000088691711","0.8387136459350586"
"winter-sweep-7","finished","-","","","2024-10-13T15:15:09.000Z","445","5xpd0uvu","0.5","[3,32,32]","0.001","","","256","64","","10","adam","","","","","","","10","14070","0.7146999835968018","0.9417880177497864","0.8294000029563904","0.84375","0.498795747756958","0.388416051864624","14070","0.7135999798774719","0.9517885446548462"
"apricot-sweep-6","finished","-","","","2024-10-13T15:07:16.000Z","469","5xpd0uvu","0.5","[3,32,32]","0.001","","","256","128","","10","sgd","","","","","","","10","14070","0.7422999739646912","0.8467557430267334","0.8394888639450073","0.875","0.4743132293224334","0.5246772766113281","14070","0.7423999905586243","0.8360228538513184"
"flowing-sweep-5","finished","-","","","2024-10-13T14:59:38.000Z","452","5xpd0uvu","0.5","[3,32,32]","0.001","","","256","128","","10","adam","","","","","","","10","14070","0.7433000206947327","0.9059276580810548","0.8549555540084839","0.84375","0.43001818656921387","0.4161694347858429","14070","0.7459999918937683","0.8915706276893616"
"eager-sweep-4","finished","-","","","2024-10-13T14:52:21.000Z","435","5xpd0uvu","0.5","[3,32,32]","0.001","","","512","64","","10","sgd","","","","","","","10","14070","0.7533000111579895","0.8279106616973877","0.8592222332954407","0.84375","0.42043694853782654","0.4815906584262848","14070","0.7537999749183655","0.8264987468719482"
"flowing-sweep-3","finished","-","","","2024-10-13T14:45:35.000Z","401","5xpd0uvu","0.5","[3,32,32]","0.001","","","512","64","","10","adam","","","","","","","10","14070","0.7390999794006348","0.8830907344818115","0.8493777513504028","0.875","0.4471469521522522","0.34560373425483704","14070","0.7445999979972839","0.8553237318992615"
"charmed-sweep-2","finished","-","","","2024-10-13T14:38:08.000Z","442","5xpd0uvu","0.5","[3,32,32]","0.001","","","512","128","","10","sgd","","","","","","","10","14070","0.7615000009536743","0.8366261720657349","0.8704000115394592","0.8125","0.3942328095436096","0.283694326877594","14070","0.76419997215271","0.8201540112495422"
"deft-sweep-1","finished","-","","","2024-10-13T14:31:01.000Z","425","5xpd0uvu","0.5","[3,32,32]","0.001","","","512","128","","10","adam","","","","","","","10","14070","0.755299985408783","0.8327304720878601","0.8543333411216736","0.90625","0.4374081492424011","0.2007602751255035","14070","0.7541999816894531","0.8339276313781738"
